""	"x"
"1"	"When mechanics Taye and Kehinde Hamza agreed to service a vehicle at their workshop in Nigeria's Bauchi State in 2010, they could never have imagined the years of hell which would follow.The car, it turned out, belonged to a Boko Haram fighter, and the job was enough to get the twins arrested.It would be another eight years until they were free again, cleared along with 473 others of terrorism charges.Theirs is one tale among many emerging from a mass trial currently under way.Four judges have been hearing cases since last Monday in the town of Kainji, in the central Niger State. So far, those released for lack of evidence far outweigh those convicted of being members of Islamist militant group Boko Haram.Among those cleared of all charges last week were children and the elderly. Some, like the Hamza twins, had been detained since 2010. Mariam Mohammed, a Shua Arab from Borno State, was caught by soldiers as she tried to flee the Sambisa Forest - Boko Haram's base - back in 2014.She had been lured into the forest and married off to a fighter at the age of 11, an official statement from the Nigerian Justice Ministry said.Last week, she turned up in court cradling a three-month-old baby.The long term impact of their imprisonment is not yet known. According to the Justice Ministry, some are suffering from mental illnesses - although whether the conditions existed before their arrests was unclear.At a previous mass trial, held in October, more than 400 suspects were released, with just 45 jailed for their roles in the Boko Haram insurgency which has killed more than 20,000 people and displaced millions of others.  Justice Minister Abubakar Malami told the BBC that the released suspects would be rehabilitated before being allowed to return to their families. But while these judges are making headway into the backlog of people awaiting trial, there are still another 5,000 people are still waiting for their own dates to be set.The judges have found 205 people guilty of terror-related offences - including the mastermind behind the abduction of the Chibok girls.Judges had originally found Haruna Yahaya, 35, guilty of taking part in the 2014 kidnapping - despite his arguments he was an unwilling participant. On Friday, they handed him an additional sentence for planning the mass kidnapping.In total, he was sentenced to 30 years in prison. But while convictions like this offer the hope of justice for Boko Haram's many victims, campaign group Amnesty International has questioned the method of the trial.Mass trials of this nature provide insufficient guarantees for fair trial and risk failing to realize justice, Amnesty's Nigeria's director, Osai Ojigho, said. This is particularly so in this case, given that Amnesty International has previously documented how the security forces routinely rounded up and detained hundreds of young men as 'Boko Haram suspects' with no evidence.The Nigerian authorities always insist that the suspects are being given fair hearing at the trials with lawyers provided to defend them through the Nigeria Legal Aid Council, according to the Justice Ministry."
"2"	"At least 17 people have been killed in Mozambique's capital, Maputo, after a huge mound of rubbish collapsed on their homes, officials say. Many more residents were injured when the pile of waste, some 15m (49ft) high, gave way in heavy rains at 03:00 local time (01:00 GMT) on Monday. Rescue workers are continuing to search for people still trapped. The city of Maputo has experienced heavy rainfall since Sunday, which has damaged homes and flooded roads.Several properties were crushed in the incident in the Hulene district of Maputo, one of the poorest parts of the capital, while people were sleeping inside. A spokesman for the emergency services, Leonilde Pelembe, warned that more victims could be trapped under the waste. The information we received from local authorities is that the number of people living in those houses exceeds the number of deaths recorded, Mr Pelembe said.The authorities said they had previously asked residents in the area to leave because their homes were constructed illegally, Reuters news agency reports.However one local resident whose son was injured in the landslide, Maria Huo, said: I live in this neighbourhood because I have nowhere to go. Had the government told me to go to another place to live, I would have left here.In the poorer suburbs of cities such as Maputo, people sometimes live on land they do not own in the hope of finding work. The dwellings can be built on land that is unsafe."
"3"	"Two new language services have been launched by the BBC World Service for Igbo and Yoruba speakers in Nigeria and West and Central Africa.Their digital content is mainly aimed at audiences who use mobile phones. Igbo is primarily spoken in south-east Nigeria and Yoruba in the south-west, as well as in Benin and Togo.The new services are part of the World Service's biggest expansion since the 1940s, following a government-funding boost announced in 2016.In total, 12 services are being launched by the BBC in Africa and Asia.Meet the BBC Igbo team:The BBC's expansion in Nigeria - Africa's most populous country where more than 200 languages are spoken - began last year with BBC Pidgin, which targets those who use the regional English-based lingua franca.It is primarily an oral language, without a standard agreed written form.The BBC Igbo and Yoruba teams have also faced challenges to standardise their written languages for modern audiences - and have sought advice from academics.Yoruba can be very confusing for younger readers because it has so many inflections, so we using a less complex system to appeal to them, says Yoruba service editor Temidayo Olofinsawo.Meet the BBC Yoruba team:There are very few news publications in Igbo and Yoruba in Nigeria, so it is hoped the new BBC services will be popular with Nigerians at home - and in the diaspora.This is the first time the Igbo language will be written and broadcast for international consumption, says Adline Okere, editor of the Igbo service.Igbos are known for their entrepreneurial spirit - and they are spread all over the world, she says.The teams will produce a twice daily bulletin of BBC Minute - an audio round-up of stories as well as news, analysis, explainers and features on the web and social media.The BBC's head of West Africa, Oluwatoyosi Ogunseye, says the focus will be on original journalism.Delivering content and engaging with the Igbo and Yoruba audiences in their mother tongues is authentic, exciting and refreshing, she says.We have had BBC Hausa [mainly spoken in northern Nigeria] for decades and we've seen the impact it had with its audience. When we look at Nigeria we have a multicultural society and the BBC felt that it was very important to give all the cultures a platform to communicate, a platform to interact."
"4"	"Zimbabwe's president has called on all citizens to unite to mourn opposition leader Morgan Tsvangirai, who died of colon cancer last week.A memorial service for Tsvangirai was held in a packed church in the capital Harare, while outside hundreds of supporters of his Movement for Democratic Change (MDC) gathered.Tsvangirai died in hospital in South Africa on 15 February at the age of 65. He will be buried in his home village of Buhera on Tuesday.  President Emerson Mnangagwa visited Tsvangirai's family to offer condolences ahead of the service.Let us all be brothers and sisters, and come together and mourn our former prime minister, he said after his visit. When we write the history of this country, we cannot leave out the participation and role that the former prime minister played in the effort to entrench democratic values in this country, Mr Mnangagwa added. The new president, who took over following the military ousting of Mr Mugabe in November, called for fair, free and credible elections, which are due to take place this year. Tsvangirai, the fiercest opponent of Zanu-PF rule, had led the opposition MDC since its formation in 1999. He gained the most votes in the first round of the presidential election in 2008, but pulled out of the second round after a sharp increase in violence directed at the opposition. Tsvangirai himself was beaten up and jailed.  As a senior Zanu-PF figure, Mr Mnangagwa has been accused of co-ordinating state intimidation of the opposition at the time, though he has not commented on the allegations. Following an international outcry over allegations of vote-rigging, Tsvangirai shared power as prime minister with Mr Mugabe. In 2013, he ran again against him but lost decisively. "
"5"	"It is rare in a journalistic life that one gets to sit a few yards from a president as he announces his resignation and then, within the same 24 hours, stand in the presence of his successor as he is sworn in. More so when it happens without a shot being fired or vast crowds taking to the streets. But South Africa has always been a nation to surprise. And to infuriate. And to inspire. It is like no other country I have ever reported from. From my first experiences in the apartheid 1980s to the rise of President Cyril Ramaphosa, it has frequently havered between the possibility of disaster and triumph, sometimes accommodating both possibilities within the space of a single day. The fall of Jacob Zuma came about, in part, because of several uniquely South African dynamics. It would never have happened without a strong constitution. This document was forged with painstaking care in the early to mid-1990s and is shaped by the memory of apartheid's brutal excesses and the dictatorships which had caused such misery elsewhere on the African continent. But the protections it enshrines - of free speech, democratic accountability, an independent judiciary - are also reflections of a national characteristic, what I would venture to call a redemptive fractiousness. South Africans love to argue. And they have the gift of being able to laugh at themselves and their leaders. In the dying days of the Zuma government there was a typically South African flurry of dramatic rumours. Zuma might declare a state of emergency and use the army to crush his opponents. Memories of PW Botha and the apartheid emergency of 1986 still haunt an older generation. Then came a story that suggested Mr Ramaphosa was negotiating a deal that might see Mr Zuma given immunity from prosecution if he turned state witness in major corruption allegations. Both were quickly debunked.The South African military will never be allowed to occupy the space in national life that it did in the securocrat apartheid state. Even Mr Zuma's most ardent supporters can remember what happens when you put too much power into the hands of the soldiers. As for immunity, it was always a nonsensical rumour. The new dispensation had no intention of beginning with a shabby deal that would, in any case, have been swiftly struck down by the courts. So how is President Ramaphosa likely to govern? The man I have observed over nearly 30 years is likely to move quickly to reduce the influence of the different security and intelligence departments. This will be a government led by a civilian schooled in the trade unions and civil society who never felt comfortable with the conspiratorial culture of some elements that returned from exile with the ANC.Over coffee the morning after President Ramaphosa's state-of-the-nation speech, my colleague Andrew Harding, who lived through two terms of Mr Zuma, summed up the change: This will be a CEO presidency. Cyril Ramaphosa - South African union leader, mine boss, presidentRamaphosa pledges 'new dawn' for South AfricaPrecisely. Civil servants are already nervously wondering about his plans for downsizing bloated government departments. There will be a war on government waste, and visits to government departments across the country, probably unannounced. But in a moment of hope some caution is needed. Just as in the days after apartheid the public discourse was filled with white politicians claiming they had never really supported apartheid, we can now expect many who thrived under President Zuma to declare themselves to have been ardent enemies of corruption all along. Mr Zuma was undoubtedly the figurehead under whom so much venality flourished. But the rot runs deep in the ruling party. The new president will move carefully, as always, but we can expect to see a steady edging out of those associated with the old regime. Some of them may fall because they find themselves embroiled in criminal proceedings. Others will be cold shouldered and outmanoeuvred. Will this split Africa's oldest liberation movement? I don't believe so. With elections looming next year the party will pull together, recognising that Mr Ramaphosa offers the best hope of victory.Beyond the party, South African society is calling for a reckoning on corruption. There were crooks at many levels of society who stole from state coffers, and many had links to the ANC. The truth commission which followed apartheid saw the beneficiaries of apartheid continue a life of privilege much as they had done before. I sense South Africans do not wish to see a similar veil drawn over corruption. There will be a state capture inquiry to join the other public processes which are forensically laying out the abuses of the Zuma years. And there will be trials of those accused of abusing their power. Jacob Zuma could be among those in court. 'State capture' and other ways Zuma's presidency shaped South African speechThe survivor whose nine lives ran outWhat next for South Africa?Africa is undergoing profound political changes. But one cannot impose a single template and disregard the complex factors at work in different regions. In the last few months I have witnessed the aftermath of elections in Kenya and Liberia, and the removal of unpopular leaders in Zimbabwe and South Africa. In each place the dynamics were different. Zimbabwe happened because the incumbent Robert Mugabe and his wife Grace alienated the security elite that had propped up their ruinous regime for so long. In Liberia, the successful transition from one democratically elected leader to another, for the first time in the nation's history, came about in the context of a broadening of democracy across much of west Africa. In central and east Africa authoritarianism is the dominant force, for now. But the peaceful removal of Jacob Zuma, led by the institutions of a vibrant democracy, will inspire activists in Kinshasa, Kigali, Kampala, Nairobi and numerous other points across the continent. From the days when corruption and misrule threatened to make South Africa a laughing stock there is a chance to reclaim some moral leadership on the continent. "
"6"	"The Monrovia Church massacre in 1990 was the worst single atrocity of the Liberian civil war. About 600 civilians, including many children, were killed while taking refuge in a church. Now, four survivors are bringing a claim for damages against one of the men they believe was responsible, reports Elizabeth Blunt who was a BBC correspondent in Liberia at the time.It was July 1990, and rebel fighters were advancing on the capital, Monrovia. President Samuel Doe was holed up in his vast, gloomy Executive Mansion.  After dark bands of soldiers roamed the streets, looting shops and warehouses and seeking out people from Nimba County, the area where the rebellion had started. They dragged the men from their homes, beating and often killing them. Hundreds of terrified families, looking for a safer place to sleep, took refuge in St Peter's Lutheran Church - a spacious building in a walled compound. Huge Red Cross flags flew at every corner.But on the night of 29 July, government soldiers came over the wall and started killing those inside. An estimated 600 people - men, women, children, even babies - were shot or hacked to death with machetes before the order was given to stop.A Guinean woman doctor, who was one of the first to reach the church the next day, described to me the scene of utter horror. Dead bodies were everywhere. The only sign of life was a baby crying.  She describes having to walk over corpses to reach the child, but when she picked it up and tried to comfort it, she said she suddenly saw a flicker of movement, and then another. A few children had survived, protected by the bodies of their parents, but only when they saw her, a civilian and a woman taking care of the baby, did they dare to come out. One of the child survivors is among those now suing for damages.American missionary Bette McCrandall was there, too, that morning - she had lain awake the previous night, listening to everything that was happening from the Lutheran bishop's compound close by.  She says those events have stayed with her, even all these years afterwards, as they have with all the survivors.  The memories of that day and that night don't leave me, she says.This was the worst atrocity of the war, the event so shocking that it drove neighbouring countries to mount an armed intervention. Yet no-one has ever been prosecuted or held responsible.The man now being taken to court in the US is Moses Thomas, formerly a colonel in the much-feared Special Anti-Terrorist Unit (Satu), based at the Executive Mansion. Survivors have identified him as one of those giving orders that night. Now he lives in the US state of Pennsylvania. Like many Liberians, he was given what is known as temporary protected status, because of the atrocities which were going on back home.Liberia has had a Truth and Reconciliation Commission, and Mr Thomas was among those recommended for prosecution - but no cases have ever been brought.So now a movement has started to bring them to justice outside Liberia. Speaking to the BBC after being served court papers on Monday, Mr Thomas called the allegation nonsense.I don't want to give any credence to the allegation, he said. No-one in my unit had anything to do with the attack on the church.Hassan Bility, who heads the Global Justice and Research Project in Monrovia, said he was pleased with the latest development.For 27 years the survivors of this massacre have fought and laboured for justice without success, and nobody has been paying any attention - not the Liberian government, not anybody outside. So this is a small victory, he says.1989: Charles Taylor starts rebellion against President Samuel Doe1990: Doe horrifically killed by rebels1997: Civil war ends after death of some 250,000 people. Taylor elected president2012: Taylor convicted of war crimes in neighbouring Sierra LeoneMs McCrandall certainly sees it as important.  For me, she says, it is a chance for him to own up to what he has done, and on whose orders. That person will have to live and die with the guilt of what he has done. And in my mind it is comforting to me that this issue has not been put to rest, that the case has not been dropped.The snag is that for the moment this is only a civil suit, not a criminal case. A number of criminal prosecutions have started in Europe, where courts will hear cases for war crimes under so-called universal jurisdiction. In the US that is more difficult, so campaigners against impunity have had to be ingenious. One Liberian warlord, known as Jungle Jabbah, was recently prosecuted for immigration fraud, since he had falsely claimed on his application that he had never belonged to any armed group.Mr Thomas is being sued in a civil action by four of the survivors. If they win, he is unlikely to be able to afford much in damages. But campaigners hope that the evidence which comes out in court will make the American authorities question his protected status, opening the way for a criminal prosecution or deportation.But if he is deported back to Liberia, what then? Would he go on trial? Liberia never set up a special court and has never tried any war crimes cases. Many suspects still hold high positions.Campaigner Hassan Bility clings to the hope that now, with a new government now in place, things might be different.  The current President, George Weah, was totally disconnected from the war, he says. He was not part of any faction; he was playing football in Europe... And he gets a lot of his support from poor people, the ones who really suffered in the war... We have the opportunity right now to do this."
"7"	"Street dancers in Sierra Leone have a bad reputation - they're often branded as thieves and troublemakers. Dance troupe Roughest Bounds does much to challenge this image. The group, made up of 12 members, is determined to make it big, despite social and financial struggles.Slim, 17, has been dancing since he was seven. When I started dancing at school I realised I had a talent, he says. People told me I was good and it felt so great to dance and be applauded. I decided I really wanted to pursue this.But the road has not been easy. Slim's father kicked him out of his house, telling him that he couldn't make money dancing in Africa. Now the group stays together in a two-room apartment belonging to their manager, Samuel, who spotted them dancing on the streets last year and decided to support their talent. They share three thin foam mattresses. Samuel's father has urged him to stop helping them and the group has been asked to move out next week. Roughest Bounds practise every day from 2pm until 7pm, both in their neighbourhood and on their rooftop. Crowds of neighbours will often stand around, cheering and applauding.Before they perform in public, the group always prays together. Slim says it's important for their morale. The little money they make comes from dancing in competitions, dance battles and at weddings. This year we've won three battles, says Slim, Each time we were given between 100,000 to 300,000 leones (£9-£27; $13-$39). When we dance at weddings they just give us small tips. The money doesn't last long - we usually use it to buy our costumes for the next performance. In the picture above, the group is dancing for free to a crowd, to publicise a dance battle they will perform in on Saturday.Each member of the group wears a necklace with their name and initials which stand for Roughest Bounds Crew written on it.The boys are very short of money and some days will go without food, or with only one small meal.Slim attends school in the morning. He says: I know I want to be a dancer but I also need to finish my schooling. He was due to sit public exams in January. Every evening, after dance practice, the boys sit together on their balcony and discuss routines for their next performance. In this instance, they're talking about how to choreograph a show at a hotel in Freetown - the theme was Sierra Leonean tradition.Slim shows off some of his stunts. He says that his big dream is to dance in America or Europe to show the people there that we do have talent in Sierra Leone.All photographs © Olivia Acland"
"8"	"Thousands of people attended the first AfroPunk festival to be held on the continent. The celebration of alternative black culture was held in the South African city of Johannesburg recently. The festival describes itself as a blank space to freak out in, to construct a new reality, to live your life as you see fit, while making sense of the world around you.For years the festival has been a space for Africans in the diaspora to explore their heritage. So some described its first appearance in Africa as a homecoming. AfroPunk was first held in New York in 2005, and was started by people who felt marginalised by both mainstream black and pop cultures. They drew heavily on the rebellious spirit of punk.It has since become a global movement, and has been held in Atlanta, Paris and London. The festival celebrates music and culture born of African spirit, as well as alternative music and fashion. It has become synonymous with eclectic, experimental outfits and style.There was some controversy on the first day after South African DJ Cleo pulled out, claiming local artists were not being treated with the same respect as international ones. But that didn't seem to stop music-lovers dancing to both legendary old and popular new South African musicians, including Kwaito star Thebe, below. Kwaito music developed in South Africa in the early 1990s.Traditional healer, artist and activist Albert Ibokwe Khoza, below, accompanied The Brother Moves On for their carnivalesque performance.International artists, including British performer Laura Mvula, below, and American Anderson .Paak kept festival-goers entertained on day two. US star Solange was meant to be the headline act but she cancelled due to sickness. Some say the AfroPunk movement has become a victim of its own popularity, and has become mainstream. Pride in black hair, beauty and fashion were all on display, in keeping with the themes of the festival.The festival also champions inclusion of people of all backgrounds, ethnicities and sexual orientations. Screens flashing the messages rejecting ableism, sexism, homophobia and racism were on display throughout the festival.Art was also created - Gloria Shoki, below, urged others to join her painting a graffiti mural.For 29-year-old performance artist and poet Thola Antamu, below, this was a chance to dress up in her most regal attire.The new generation of African designersMadagascar's love affair with vintage French carKenyan fashionista dares to stand out in Kibera slumThe tattoos Eritreans get before they leave for EuropeThe street child who became a top photographer  Artists take over Ghana's streetsImages copyrighted"
"9"	"What does it feel like to capture the defining moments of Africa's biggest news stories of 2017 on camera? Here, four photographers tell the BBC about their favourite shots from the year.Mike Hutchings is Reuters' chief photographer in southern Africa. Based in Cape Town, he travelled to Zimbabwe in November to document the military takeover which would eventually unseat Robert Mugabe.Earlier in the day, Hutchings had been taking photos outside the parliament while lawmakers were discussing the impeachment of President Mugabe. But the feeling was pretty low key - albeit with a sense of anticipation. After filing those photos, he decided to walk around Unity Square, outside the parliament, one last time. He was looking for a taxi when a colleague phoned him and told him President Mugabe had resigned.  Hutchings ran to the street corner with his camera and heard a huge eruption of cheers and joy from a group of people - that is the moment he captured. I like the energy and the relief of the photo, the photographer explained. It felt really good to be there at that particular time and share that moment.Reuters' chief photographer for north-west Africa, Zohra Bensemra, travelled to a temporary shelter camp in Dallow, Somalia, where she met Zeinab.Like millions of teenagers around the world, Zeinab does her make-up carefully before she goes to school each morning.Unlike millions of teens though, the 14-year-old has already been married - forced into it by her family.Zeinab's family are among almost 900,000 Somalis who have fled their homes, not because of war, but because of a drought and the very real risk of starvation it brought with it.But reaching the aid camp costs money, and Zeinab's dowry would earn the family $1,000 - enough to make the journey.Zeinab refused, however. She ran away and hid in the forest, but eventually she was brought home, locked in a room and forced to marry a man almost four decades older than her.The family, along with Zeinab and her new husband, finally made the journey to the camp in Dallow.It was three days since the couple had married: Zeinab wasted no time. She wanted a divorce - and he wanted his money back.Bensemra first met Zeinab in her shelter in the early morning, when the light would be perfect to capture this teenager's daily routine.She had been saved, in the end, by an Italian aid group, who had agreed to pay the money.Now she was like any other teen - initially reticent to apply her make-up in front of the photographer - getting ready for the school day.Why are you applying make-up to go to school? Bensemra asked.Zeinab replied: I want to remain beautiful.But that is not the image Bensemra treasures of Zeinab. Instead, it is the young girl walking to school, holding her books, walking like star. She had nothing but she still wanted to study - I am happy I met her. Nigerian photographer Akintunde Akinleye went to Maiduguri, in the north-east of the country, to meet the men fighting back against militant group Boko Haram.As a Nigerian currently living in Canada, people often ask Akinleye if the whole of Nigeria is at war.It's just a fraction of the country, he says. Many Nigerians don't even know what's going on there, but it affects everybody in the country. It's a big problem.But Akinleye was desperate to show a different side to the war - a side he captured in this image of 38-year-old Dala Aisami Angwalla, one of 30,000 volunteers with the Civilian Joint Task Force (JTF). Angwalla may have been injured in an ambush, but Akinleye did not want to focus on that. Instead, he asked his subject to gaze into the camera - not as a victim - but as if he was asking the world a question. People think everyone living in the north-west of Nigeria, especially the youth, belong to the insurgency, the photographer explained.But Angwalla said it was important to him to show that this isn't true: He wants to protect his home and his community from Boko Haram. It is not easy. Angwalla says that the Boko Haram members live within the community, alongside the vigilantes.The people who are fighting them know them, they know each of these people who are creating problems, Akinleye says.South African photographer John Wessels travelled to the Kasai region in the Democratic Republic of Congo in August with Oxfam. There's a moment of silence, a moment of quietness and reflection in this photo, Wessels says, pointing to the picture of Anny Mafutani, 30.The young woman, one of thousands to flee her village to escape the fighting, is surrounded by everything she was able to escape with, in a church where displaced people are seeking safety. Her story stayed fresh in Wessels' memory for her determination to survive: Those possessions were already packed, ready, long before the militia actually arrived.It meant when gunshots echoed out across the village, Mafutani and her five children were ready to run for the forest.Her husband was less lucky - he was shot and killed as he tried to escape. She was unable to stop for him.Mafutani and her five children spent months in the forest. There wasn't enough food for them in the package they had prepared so she brought them to this church.And yet, she still wanted to make sure she was camera-perfect. Mafutani left Wessels in awe.She could take five people, survive in the forest, but still wanted to take a scarf and put it on to look as good as possible, he recalls.All four of these photographers were interviewed for a series on BBC World Service Focus on Africa, talking about their photos to illustrate a few of the biggest African news stories of the year. "
"10"	"Citroen's 2CV cars tend to be associated with rural France. But for decades it has been the car of choice for taxi drivers more than 5,000 miles (8,000km) away on the Indian Ocean island of Madagascar.Feno Rafanomezantsoa's father had a 2CV which he bought in 1964. When that broke down, Feno decided to get one of his own. That was in 1987 and he still has it today.Madagascar gained independence from France in 1960, but French cars remain extremely popular.French influence is also seen outside the presidential palace.2CVs have become a symbol of Madagascar.Eddy Rajaonarison La Roche, 26, has been making these souvenirs out of milk cartons since he was 10. It takes him three days to make one.You wait ages for a 2CV and then four come along at once.Menjasoa Anjaraniaiana used to drive another vintage French car - a Renault 4 - but he switched to a 2CV three years ago because he said they were cheaper to maintain.People often choose 2CVs because they don't often break down and when they do, they are cheap and easy to repair.Many Andrianaivoson used to have another car but also switched to a 2CV four months ago because the spare parts are cheaper.There is one complaint - the 2CV can't go that fast. But on the capital Antananarivo's congested roads this doesn't really matter.With such old cars, passengers often find the seats are a bit worse for wear.For some the 2CV is a car for life. All photographs taken by Clare Spencer.We'd like to see your pictures of 2CVs and possibly publish our favourites. Send your 2CV pics that you are particularly proud of to yourpics@bbc.co.uk. You can send an MMS from the UK to 61124. Or if you are contacting us from the rest of the world send it to: +44 (0)7725 100 100. Or upload your photos and video here."
