"","x"
"1","A national state of emergency has been declared in Ethiopia just one day after the unexpected resignation of Prime Minister Hailemariam Desalegn.
A statement by the state broadcaster said the move was necessary to stem a wave of anti-government protests. 
Hundreds of people have died in three years of unrest in the country.
A 10-month state of emergency that ended last year failed to stop the protests, as did the release from jail of thousands of opposition supporters.
Mr Desalegn said he made his decision to stand down on Thursday in the hope that it would help end the years of unrest and political upheaval.
Dozens of people have been killed and many more injured during recent strikes called to press for the release of political prisoners. 
Demonstrations initially began in Oromia in November 2015. Protests later sprung up in the Amhara region.
Oromia and Amhara are the homelands of the country's two biggest ethnic groups. "
"2","At least five Congolese soldiers have been killed by the Rwandan army, the military in DR Congo says.
Gen Bruno Mandevu said the clash had occurred in the Virunga National Park, on Congolese territory - a claim Rwanda denied.
He said the Congolese troops initially thought they were fighting one of the many rebel groups active in the area.
Some fear these clashes could increase tensions between the countries, which have a troubled history.
Rwanda twice invaded its much-larger neighbour in the 1990s.
A Rwandan army spokesman confirmed the clashes but told the BBC that it was Congolese troops who had crossed the border.
Eastern Democratic Republic of Congo, across the border with Rwanda, remains deeply unstable.
Aid agencies are warning about violence in the north-eastern Ituri province, where the United Nations children's agency, Unicef, says more than 46,000 children are on the run.
The BBC's Catherine Byaruhanga has seen burnt and abandoned villages in the province where people from the Hema and Lendu ethnic groups have been fighting for control of land.  
Earlier this week, the Norwegian Refugee Council, a humanitarian NGO, warned that the crisis in DR Congo was at a deadly tipping point.
In the past two years, more people have been displaced in DR Congo than any other country. 
A total of 4.5 million people need assistance."
"3","Oxfam says it will set up a commission to investigate past and present allegations of exploitation by staff.
Oxfam International's executive director Winnie Byanyima said it would ""do justice"" and ""atone for the past"".
She invited victims to come forward ""for justice to be done"" for them, saying she was ""here for all the women who have been abused"". 
The British charity has faced criticism over the way it handled claims staff hired prostitutes in Haiti in 2011.
Meanwhile, UN Secretary General Antonio Gutteres told the BBC there must be ""zero tolerance"" of sexual misconduct within the aid community.
Ms Byanyima, the most senior Oxfam executive to speak on the issue, said she first heard of the controversy after news reports last week.
She said the organisation was ""hurt"", but added: ""There is no way this organisation can die... the world needs it.""
In an interview with the BBC's diplomatic correspondent James Landale, she switched to speaking in the Ugandan language of Runyankore to make an apology: ""From the bottom of my heart forgive us, forgive Oxfam."" 
She admitted she could not guarantee there were not sex offenders currently working at the organisation but vowed Oxfam would ""build a new culture that doesn't tolerate that behaviour"".
She said the reforms at Oxfam would include: 
Mr Gutteres said Oxfam were ""very reliable partners"" during his time as UN high commissioner for refugees and he hoped the charity would ""overcome this difficulty and to do everything necessary to re-establish... normal operations"".
He added: ""In relation to sexual harassment and sexual exploitation... These are widespread problems that all organisations - international organisations, national organisations, the private sector - have and they need to fight it very strongly."" 
Earlier this month, news reports said that during a humanitarian mission in Haiti in 2011, the charity's country director Roland van Hauwermeiren hired prostitutes at a villa paid for by Oxfam. 
Mr Van Hauwermeiren, who left Oxfam in 2011 amid a sexual misconduct inquiry, has denied hiring prostitutes but said he had ""intimate relations"" with a woman who was ""not a prostitute"".
Oxfam had staff working in Haiti following the earthquake in the country which killed about 200,000 people in 2010.
As a result of the revelation, the charity has faced severe criticism from the British government and the Haitian president.
International Development Secretary Penny Mordaunt has threatened to cut the charity's government funding, which was £32m last year. 
The charity has also lost a number of celebrity ambassadors including Good Will Hunting actress Minnie Driver, and Nobel Peace Prize winner Archbishop Desmond Tutu.
Ms Byanyima said she was sad to lose ambassadors she ""respects so much"", but added: ""What hurts me most is out there in Haiti, there are poor women who have been abused and have not received justice."" 
Meanwhile, Oxfam's chief executive Mark Goldring has used an interview in the Guardian to repeat his apology for the charity's failings, while maintaining that ""the scale and the intensity of the attacks feels out of proportion to the level of culpability"".
The UK's Charity Commission is to launch a full inquiry into Oxfam, saying the organisation may not have ""full and frankly disclosed material details"" about the Haiti sex scandal. 
On Thursday a new allegation came to light that a worker fired by Oxfam over sexual misconduct allegations in Haiti was rehired later the same year by the charity. 
Oxfam said its decision to rehire the man in Ethiopia was a ""serious error"".
Oxfam has almost 10,000 staff working in more than 90 countries across the globe. 
Do you have any information related to this story that you wish to share? Please email haveyoursay@bbc.co.uk.
Please include a contact number if you are willing to speak to a BBC journalist. You can also contact us in the following ways:
Or comment here:"
"4","A skit on China's biggest Lunar New Year TV show has sparked widespread criticism and accusations of racism.
In a comedy routine celebrating Chinese-African ties an Asian actress appears in blackface and with exaggerated buttocks.
Using make-up to lampoon black people - a practice known as blackface - is seen by many as deeply offensive.
The annual state media variety show is hugely popular, and has up to 800 million viewers.
Some observers have pointed out that this sketch would not have been intended as offensive to Africans.
However, this is not the first time Chinese entertainment shows have caused controversy with their portrayals of other ethnicities.
The controversial sketch was part of the four-hour CCTV New Year Gala - also known as the Spring Festival Gala - which aired on Thursday night. By some estimates, the show is the most watched entertainment programme on earth.
The skit begins with a routine by a group of African dancers in ""tribal"" attire and people dressed up as zebras, giraffes, lions and antelopes. This is followed by a comedy skit where a young black woman asks a Chinese man to pose as her husband when meeting her mother. 
While the young woman is played by a black actor, her mother appears to be an Asian actor in blackface make-up, donning a traditional outfit complete with huge fake buttocks. 
She walks on stage carrying a fruit plate on her head and is accompanied by what is thought to be have been a black actor in a monkey suit, carrying a basket on his back. 
You might also like: 
The skit praises Chinese-African cooperation, showing how much Africans benefit from Chinese investment and how grateful they are to Beijing. At one stage, the character of the African mother exclaims how much she loves China. 
China has over the past years stepped up investment into many African countries. The sketch was set around people working on the Nairobi-Mombasa railway project.
by John Sudworth, BBC News, Beijing
China's TV gala has become as much a part of the spring festival tradition as dumplings and lanterns. The gaudy sets, highly choreographed dance troupes and sentimental ballads serve as the background noise to hundreds of millions of private family reunions and provide the mass media glue that binds them all into a genuine national moment.
In recent years though there have been grumblings that the gala is taking on a more political tone and this year was no exception - with the whole event a kind of pageant to China's rising power and national rejuvenation.
The Africa skit was clearly meant to be part of this same vision and is, if nothing else, proof that art is rarely improved by a large dollop of propaganda. But what's particularly striking about the whole toe-curling spectacle is that it is also strangely at odds with China's own message.
Chinese investment in Africa is one of the defining economic stories of our time and it has been accompanied by a massive publicity drive. 
Bristling at any suggestion that it is involved in neo-colonialism, China insists that it comes not to exploit, but in partnership with and for the mutual benefit of its African partners. 
The sight then, of a Chinese actress in blackface, leading an African man dressed as a monkey around a stage as a way of celebrating a vital trading relationship on prime-time national TV, seems particularly ill-judged.
Simply naive and clumsy? Or a sign of something deeper? Either way it suggests China's soft-power project is still a work in progress.
The notion of blackface being racist is linked to the history of minstrel shows in the US and Europe in the 19th and 20th centuries where white actors would paint their skin black for condescending portrayals of black people. 
In China, the vast majority of people have no experience of interacting with black people and are less aware of Europe's and the US' history of slavery and racism. 
Nonetheless, Chinese users on the country's biggest social media website Weibo have condemned the programme.
Comments included ""it's full of racism,"" that ""it makes me feel like I'm living in the last century,"" and that ""we are going to lose face internationally"". 
Putting it into a larger context beyond the specific history of blackface, one user asks ""if an American white person painted yellow, says I love the USA and recites some Trump quotes while pulling his eyes, how would you feel?""
Some Chinese articles criticising the annual gala on the eve of Lunar New Year, China's biggest holiday, have been blocked overnight, as have some critical comments on Chinese social media sites.
In 2016, a TV advertisement for a laundry detergent had caused widespread outrage for being racist. 
The ad featured a black man with paint stains on his face who gets put into a washing machine by a young Chinese woman to later re-emerge as a fair-skinned Chinese man. "
"5","Ethiopian Prime Minister Hailemariam Desalegn has resigned unexpectedly, saying he hoped to end years of unrest and political upheaval.
In a televised address, he said his resignation was ""vital in the bid to carry out reforms that would lead to sustainable peace and democracy"". 
Mr Hailemariam, who has led the country since 2012, also stepped down as chairman of the ruling coalition.
Hundreds of people have died in three years of anti-government protests.
Demonstrations first spread across the country in 2015 amid calls for political and economic reform and an end to state corruption.
Most of the unrest has centred on Ethiopia's two largest regions, Oromia and Amhara.
A 10-month national state of emergency that ended last year failed to stop the protests, as did the release of thousands of opposition supporters from jail last month..
""Unrest and a political crisis have led to the loss of lives and displacement of many,"" Mr Hailemariam said.
""I see my resignation as vital in the bid to carry out reforms that would lead to sustainable peace and democracy."" 
Leaders of the governing coalition - the Ethiopian People's Revolutionary Democratic Front (EPRDF) - held an emergency meeting following the announcement, the Addis Standard website reported.
BBC Africa Correspondent Alastair Leithead says Ethiopia's economic growth has been impressive but its steamroller approach to development has sparked years of regional, ethnic-based protest.
The old guard that runs Ethiopia is now afraid its federal, Soviet-style system could collapse, he adds, leaving two possible solutions - to crack down harder on dissent or to try political reform.
Mr Hailemariam said he will stay on as a caretaker prime minister until parliament and the EPRDF accept his resignation and choose a replacement.
Analysis by Kalkidan Yibeltal, BBC Amharic Service, Addis Ababa
Since coming to power, Mr Hailemariam has been seen by the political elite as weak and lacking in leadership.
His resignation could be a move by the coalition to find a stronger leader, or it could signal divisions among the constituent parties along ethnic lines.
Particularly visible is the tension between the Tigrayan People's Liberation Front, which has seen its dominance and influence wane, and the Oromo People's Democratic Organisation, which is becoming increasingly more assertive.
Replacing Mr Hailemariam might also be one way to meet the demands of Oromo protesters who have accused the authorities of marginalisation.      
Getaneh Balcha, of the opposition Blue Party, said Mr Hailemariam's resignation was ""great news for Ethiopians"".
""This is the beginning. Other officials also need to follow this and transfer the power to the public,"" he said.
Mr Hailemariam, a trained engineer, took office following the death of Meles Zenawi who had ruled since 1991.
However, while the former deputy prime minister was a close ally of Mr Meles, he struggled to gain approval of the other EPRDF leaders in order to assume his role."
"6","After years of attempts to remove him, and months of speculation, Jacob Zuma has been forced to step down as president of South Africa. 
Mr Zuma had been in a vulnerable position since the end of his final term as head of the ruling ANC in December last year, when his rival Cyril Ramaphosa was chosen to lead the party.
The allegations of corruption around Mr Zuma were unrelenting. 
Particularly damaging were the ongoing claims that a wealthy family from India - the Guptas - had gained lucrative state contracts and exerted undue influence on government appointments because of a corrupt relationship with the president. 
While the Guptas and Mr Zuma consistently denied the claims, the stories of what is known as ""state capture"" kept coming.
Mr Zuma is also facing the possible reinstatement of 18 charges of corruption, fraud, and money laundering stemming from a 1990s arms deal.
Mr Ramaphosa has been sworn in as the country's new president after he was the only candidate in an election in parliament.
He has said his priority is reviving South Africa's battered economy. Shortly after winning the bitterly contested ANC leadership battle, he said ""we must all do all we can to ensure that we turn our economy around"".
But it won't be easy: Unemployment is currently at almost 30%, a rate which rises to nearly 40% for young people. Low growth rates and dwindling investor confidence were compounded by two credit agencies downgrading the economy to junk status. 
One of the first steps in improving that investor confidence is addressing the persistent claims of corruption at the heart of government. 
For example, there are the ongoing allegations of maladministration at the state power company Eskom, which led to a crisis that Finance Minister Malusi Gigaba warned could wreck the economy if not resolved. Ratings agencies have also cited the situation at the company as a cause for concern.
At the same time, Mr Ramaphosa urgently needs to unite his party. The recent leadership campaign deepened fractures within the ANC, and it is now split between those who support Mr Zuma, and backers of Mr Ramaphosa who wanted Mr Zuma out. 
Arguably one of Mr Zuma's greatest achievements was calming the political violence in his home province of KwaZulu-Natal (KZN) during the run-up to the first democratic election in 1994. He is hugely popular in the region and is credited with delivering votes both from the area and from his Zulu ethnic group.
There are fears that if Mr Zuma's supporters feel he was treated badly, the ANC could lose these important votes. And even more concerning is that as the power struggle within the ANC has intensified, so too has political violence in KZN.
Perhaps this is one of the reasons Mr Ramaphosa was so careful in his handling of Mr Zuma's exit, insisting on several occasions that he should not be humiliated. 
It is often said that Mr Ramaphosa has had his eye on the position of president since the ANC came to power in 1994. 
The story goes that he was so upset at not having been chosen by Nelson Mandela as his successor that he left politics and went into business. 
But Mr Ramaphosa has now finally realised that dream. But unless he is able to bring Mr Zuma's supporters on board, and address the issues in the economy, his time as president could prove to be short-lived.
The ANC has won every election in South Africa since the end of white minority rule in 1994. For many South Africans it is the party that brought them freedom from the brutality and racism of apartheid rule, and this is not something easily forgotten.
But its popularity has been waning, and for the first time there is a realistic possibility that the party could lose power - particularly if the opposition parties form a coalition. 
The ANC suffered humiliating losses in the 2016 local government elections. Although it gained far more votes than any other party, it lost control of major cities including the economic hub of Johannesburg and the capital, Pretoria.
While there is no doubt that the lives of many South Africans have improved, many feel not enough has changed under ANC rule. South Africa is still one of the most unequal countries in the world, and more than half the population live in poverty.
The allegations of corruption within the ANC government have added to a sense that a privileged, politically connected elite is benefitting at the expense of ordinary South Africans.
There is also the sense among many black South Africans that the power structures created under apartheid are still in place. In particular, land and the economy are hot button issues.
The redistribution of agricultural land taken from black people while the country was under white rule has been painfully slow. 
About 95% of the country's assets are in the hands of 10% of the population. And white South Africans still earn around five times more than their black counterparts.
The ANC has promised to accelerate land redistribution - even promising to change the constitution to allow land expropriation without compensation. And it has adopted the policy of ""Radical Economic Transformation"" - putting economic power in the hands of the majority black population.
But if it wants to retain that all-important investor confidence, the party also needs to convince business that South Africa will not go down the road already trodden by Zimbabwe.
Balancing the interests of its core voters with those of business and the economy might prove to the biggest challenge for the ANC ahead of the 2019 election."
"7","The Monrovia Church massacre in 1990 was the worst single atrocity of the Liberian civil war. About 600 civilians, including many children, were killed while taking refuge in a church. 
Now, four survivors are bringing a claim for damages against one of the men they believe was responsible, reports Elizabeth Blunt who was a BBC correspondent in Liberia at the time.
It was July 1990, and rebel fighters were advancing on the capital, Monrovia. President Samuel Doe was holed up in his vast, gloomy Executive Mansion.  
After dark bands of soldiers roamed the streets, looting shops and warehouses and seeking out people from Nimba County, the area where the rebellion had started. They dragged the men from their homes, beating and often killing them. 
Hundreds of terrified families, looking for a safer place to sleep, took refuge in St Peter's Lutheran Church - a spacious building in a walled compound. Huge Red Cross flags flew at every corner.
But on the night of 29 July, government soldiers came over the wall and started killing those inside. An estimated 600 people - men, women, children, even babies - were shot or hacked to death with machetes before the order was given to stop.
A Guinean woman doctor, who was one of the first to reach the church the next day, described to me the scene of utter horror. 
Dead bodies were everywhere. The only sign of life was a baby crying.  
She describes having to walk over corpses to reach the child, but when she picked it up and tried to comfort it, she said she suddenly saw a flicker of movement, and then another. 
A few children had survived, protected by the bodies of their parents, but only when they saw her, a civilian and a woman taking care of the baby, did they dare to come out. One of the child survivors is among those now suing for damages.
American missionary Bette McCrandall was there, too, that morning - she had lain awake the previous night, listening to everything that was happening from the Lutheran bishop's compound close by.  
She says those events have stayed with her, even all these years afterwards, as they have with all the survivors.  
""The memories of that day and that night don't leave me,"" she says.
This was the worst atrocity of the war, the event so shocking that it drove neighbouring countries to mount an armed intervention. Yet no-one has ever been prosecuted or held responsible.
The man now being taken to court in the US is Moses Thomas, formerly a colonel in the much-feared Special Anti-Terrorist Unit (Satu), based at the Executive Mansion. 
Survivors have identified him as one of those giving orders that night. Now he lives in the US state of Pennsylvania. 
Like many Liberians, he was given what is known as ""temporary protected status"", because of the atrocities which were going on back home.
Liberia has had a Truth and Reconciliation Commission, and Mr Thomas was among those recommended for prosecution - but no cases have ever been brought.
So now a movement has started to bring them to justice outside Liberia. 
Speaking to the BBC after being served court papers on Monday, Mr Thomas called the allegation ""nonsense"".
""I don't want to give any credence to the allegation,"" he said. ""No-one in my unit had anything to do with the attack on the church.""
Hassan Bility, who heads the Global Justice and Research Project in Monrovia, said he was pleased with the latest development.
""For 27 years the survivors of this massacre have fought and laboured for justice without success, and nobody has been paying any attention - not the Liberian government, not anybody outside. So this is a small victory,"" he says.
1989: Charles Taylor starts rebellion against President Samuel Doe
1990: Doe horrifically killed by rebels
1997: Civil war ends after death of some 250,000 people. Taylor elected president
2012: Taylor convicted of war crimes in neighbouring Sierra Leone
Ms McCrandall certainly sees it as important.  
""For me,"" she says, ""it is a chance for him to own up to what he has done, and on whose orders. 
""That person will have to live and die with the guilt of what he has done. And in my mind it is comforting to me that this issue has not been put to rest, that the case has not been dropped.""
The snag is that for the moment this is only a civil suit, not a criminal case. A number of criminal prosecutions have started in Europe, where courts will hear cases for war crimes under so-called ""universal jurisdiction"". 
In the US that is more difficult, so campaigners against impunity have had to be ingenious. One Liberian warlord, known as ""Jungle Jabbah"", was recently prosecuted for immigration fraud, since he had falsely claimed on his application that he had never belonged to any armed group.
Mr Thomas is being sued in a civil action by four of the survivors. 
If they win, he is unlikely to be able to afford much in damages. But campaigners hope that the evidence which comes out in court will make the American authorities question his ""protected"" status, opening the way for a criminal prosecution or deportation.
But if he is deported back to Liberia, what then? Would he go on trial? Liberia never set up a special court and has never tried any war crimes cases. Many suspects still hold high positions.
Campaigner Hassan Bility clings to the hope that now, with a new government now in place, things might be different.  
""The current President, George Weah, was totally disconnected from the war,"" he says. 
""He was not part of any faction; he was playing football in Europe... And he gets a lot of his support from poor people, the ones who really suffered in the war... We have the opportunity right now to do this""."
"8","Emergency officials in Nigeria say more than 40,000 refugees have poured over the border from Cameroon since last October - and their numbers are growing by the day. 
They are fleeing violence in the country's south, where the military launched a bloody crackdown after separatists declared a breakaway state - ""The Federal Republic of Ambazonia"".
In Agbokim village, in southern Nigeria, the BBC met father-of-four Frank Okoro, who has welcomed 28 refugees into his five-room home.
Frank, 57, is a secondary school teacher and a deeply religious man. 
He uses his salary and what he earns from his cocoa and cassava farms to cater for his many house-guests. Some are related to his wife, who is from the Cameroonian side of the border - but others are not.
He decided to take them in because their situation was so dire. But it's a squeeze to find room for so many.
'We place mats on the ground,"" he says. ""Almost all the children are on the ground, either on mats or their mothers' wrappers - provided they sleep and wake up peacefully in the morning."" 
The newcomers try to help with whatever he does - perhaps on the principle that there's ""no food for a lazy man"".
As farmers, they have enough to go round. ""God is helping us greatly,"" says Frank. But he concedes: ""As the father of the home, I have to add more struggle to be able to cope.""
Without support from wider family or kind-hearted strangers, the refugees face chronic food shortages. They rarely get aid from local or international agencies, and lack basic healthcare services. Their children have no access to schools.
But the alternative was staying in Cameroon while the military wreak havoc, they say.
One young father, Rene, told the BBC he was separated from his wife and children when soldiers completely destroyed their village, killing several people. 
His loved ones managed to cross into Nigeria after a long trek, he says, with help from good Samaritans on a motorbike. But he trekked for more than a week in the bush to escape the violence - surviving only on wild fruit and water from streams. 
He wandered for more than two days before he found a footpath that led to the village of Bashu in Nigeria's Cross River State - where he was lucky enough to find his family. 
They are now hosted in the town of Ikom, about 27km (16 miles) from the border with Cameroon.  
""We were living in our village peacefully. All of a sudden, soldiers just invaded our community. After a few minutes we started hearing gunshots, so we were running left and right... I spent eight days in the forest, running.""
The 32-year-old says it was the worst experience of his life. He showed me some deep wounds on his leg which he suffered while staggering through the forests and hills. 
Like many refugees, he says he doesn't want to go back to Cameroon until peace returns to his community. 
The women who fled speak of being assaulted by the security forces in Cameroon.  
Nguma, in her 20s, alleges that she and some other women were ""beaten, stripped naked and thrown into the river"" by Cameroon military personnel. They made it to Nigeria in boats carrying other refugees. 
Another woman, Regina, told me she was accosted by three soldiers while rushing home to get her children after riots broke out in her village. 
She alleges that a soldier grabbed her as she reached her home. ""When somebody is not your husband and is holding your breast, holding you tight onto him... I was really afraid as they say soldiers used to rape people, so I started shouting. 
""When the army man saw my children coming out, then he left me in the house corridor.""
Many of the refugees who fled to Nigeria say they are still traumatised by the violence they witnessed.
""If we have our independence I will go back,"" says Regina. ""But if the war does not end, I will not go back, because I fear soldiers. Because of those heavy guns, I have some pains in my heart now. 
""If I hear the gun [go] boom, my heart goes inside like I want to die. I will not live with those guns inside Cameroon.""
There is a strong sense of uncertainty among the refugees - about Cameroon, which they have fled, and Nigeria where they are taking refuge. 
There are now limited routes for refugees to cross over into Nigeria because of the violent military operation on the Cameroonian side. The official routes are not accessible, so desperate people can only cross into Nigeria through the bush.
Cameroon is dominated by French-speakers and the English-speaking minority has long complained about being marginalised.
In late 2016, some Anglophones began protesting, saying they were excluded from top civil service jobs, and that the French language and legal system had been imposed on them.
The government responded with a security crackdown and even shut off the internet to English-speaking regions for several months.
But the protests have continued and some have started demanding independence for what they call the ""Federal Republic of Ambazonia"" - the Anglophone North West and South West provinces.
Some have taken up arms and several members of the security forces have been killed.
The government denies allegations of abuse. It says the military is only trying to protect the territorial integrity of the country.
Cameroon's government spokesman Issa Tchiroma Bakary told the BBC the state was open to dialogue on any grievances, but would not tolerate any secession attempt or violent movement.
Nigeria is already grappling with more than two million people displaced by the Boko Haram insurgency in the north - so the influx of Cameroonian refugees has added to its challenges. 
Most are in the southern state of Cross River and the central state of Benue. 
John Inaku, head of the Emergency Management Agency in Cross River, told the BBC: ""So far it is a very hectic experience, and a sad one indeed for you to see an influx of people - especially when you have not budgeted for them. It becomes difficult to assemble them, not to talk of feeding them. 
The United Nations High Commission for Refugees (UNHCR), and the International Committee of the Red Cross are among the groups trying to help the thousands of refugees. 
The UNHCR has warned against any forceful repatriation of Cameroonian asylum seekers in Nigeria, saying it would be against international law.
Tensions remain high in the English-speaking areas of Cameroon, and it is not clear how long the refugees will stay in Nigeria. 
Emergency agencies say they are considering setting up permanent camps for the swelling number of refugees, which they say could reach more than a million in the coming months if peace does not return.  
So it looks as though Frank's house-guests are here to stay for some time yet."
"9","Street dancers in Sierra Leone have a bad reputation - they're often branded as thieves and troublemakers. Dance troupe Roughest Bounds does much to challenge this image. The group, made up of 12 members, is determined to make it big, despite social and financial struggles.
Slim, 17, has been dancing since he was seven. 
""When I started dancing at school I realised I had a talent,"" he says. ""People told me I was good and it felt so great to dance and be applauded. I decided I really wanted to pursue this.""
But the road has not been easy. Slim's father kicked him out of his house, telling him that he couldn't make money dancing in Africa. 
Now the group stays together in a two-room apartment belonging to their manager, Samuel, who spotted them dancing on the streets last year and decided to support their talent. 
They share three thin foam mattresses. Samuel's father has urged him to stop helping them and the group has been asked to move out next week. 
Roughest Bounds practise every day from 2pm until 7pm, both in their neighbourhood and on their rooftop. Crowds of neighbours will often stand around, cheering and applauding.
Before they perform in public, the group always prays together. Slim says it's important for their morale. 
The little money they make comes from dancing in competitions, dance battles and at weddings. 
""This year we've won three battles,"" says Slim, 
""Each time we were given between 100,000 to 300,000 leones (£9-£27; $13-$39). When we dance at weddings they just give us small tips. The money doesn't last long - we usually use it to buy our costumes for the next performance."" 
In the picture above, the group is dancing for free to a crowd, to publicise a dance battle they will perform in on Saturday.
Each member of the group wears a necklace with their name and initials which stand for ""Roughest Bounds Crew"" written on it.
The boys are very short of money and some days will go without food, or with only one small meal.
Slim attends school in the morning. He says: ""I know I want to be a dancer but I also need to finish my schooling."" 
He was due to sit public exams in January. 
Every evening, after dance practice, the boys sit together on their balcony and discuss routines for their next performance. 
In this instance, they're talking about how to choreograph a show at a hotel in Freetown - the theme was Sierra Leonean tradition.
Slim shows off some of his stunts. 
He says that his big dream is to dance in America or Europe to show the people there that ""we do have talent in Sierra Leone"".
All photographs © Olivia Acland"
"10","Thousands of people attended the first AfroPunk festival to be held on the continent. The celebration of alternative black culture was held in the South African city of Johannesburg recently. 
The festival describes itself as ""a blank space to freak out in, to construct a new reality, to live your life as you see fit, while making sense of the world around you"".
For years the festival has been a space for Africans in the diaspora to explore their heritage. So some described its first appearance in Africa as a homecoming. 
AfroPunk was first held in New York in 2005, and was started by people who felt marginalised by both mainstream black and pop cultures. They drew heavily on the rebellious spirit of punk.
It has since become a global movement, and has been held in Atlanta, Paris and London. 
The festival celebrates music and culture ""born of African spirit"", as well as alternative music and fashion. It has become synonymous with eclectic, experimental outfits and style.
There was some controversy on the first day after South African DJ Cleo pulled out, claiming local artists were not being treated with the same respect as international ones. But that didn't seem to stop music-lovers dancing to both legendary old and popular new South African musicians, including Kwaito star Thebe, below. Kwaito music developed in South Africa in the early 1990s.
Traditional healer, artist and activist Albert Ibokwe Khoza, below, accompanied The Brother Moves On for their carnivalesque performance.
International artists, including British performer Laura Mvula, below, and American Anderson .Paak kept festival-goers entertained on day two. US star Solange was meant to be the headline act but she cancelled due to sickness. Some say the AfroPunk movement has become a victim of its own popularity, and has become mainstream. 
Pride in black hair, beauty and fashion were all on display, in keeping with the themes of the festival.
The festival also champions inclusion of people of all backgrounds, ethnicities and sexual orientations. Screens flashing the messages rejecting ableism, sexism, homophobia and racism were on display throughout the festival.
Art was also created - Gloria Shoki, below, urged others to join her painting a graffiti mural.
For 29-year-old performance artist and poet Thola Antamu, below, this was a chance to dress up in her most regal attire.
The new generation of African designers
Madagascar's love affair with vintage French car
Kenyan fashionista dares to stand out in Kibera slum
The tattoos Eritreans get before they leave for Europe
The street child who became a top photographer 
 Artists take over Ghana's streets
Images copyrighted"
