"","x"
"1","In ""The Sims"" series, the most members in a household you can have is 8."
"2","Japan was part of the Allied Powers during World War I."
"3","This is the correct spelling of ""Supercalifragilisticexpialidocious""."
"4","Unturned originally started as a Roblox game."
"5","Joseph Stalin's real name was Ioseb Bessarionis dze Dzugashvili."
"6","It was once believed that injecting shark cartilage into people would prevent them from contracting cancer."
"7","""Number 16 Bus Shelter"" was a child's name that was approved by the New Zealand government."
"8","In ""Portal 2"", Cave Johnson started out Aperture Science as a shower curtain company."
"9","In ""Metal Gear Solid 2"", you will see through the eyes of Psycho Mantis if you go first person during his boss fight."
"10","Scientists can grow teeth from urine."
"11","If you could fold a piece of paper in half 50 times, its' thickness will be 3/4th the distance from the Earth to the Sun."
"12","The fourth funnel of the RMS Titanic was fake designed to make the ship look more powerful and symmetrical."
"13","Rannamaari was a sea demon that haunted the people of the Maldives and had to be appeased monthly with the sacrifice of a virgin girl."
"14","Throughout the entirety of ""Dragon Ball Z"", Goku only kills two characters: a miniboss named Yakon and Kid Buu."
"15","The song ""Mystery Train"" was released by artist ""Little Junior's Blue Flames"" in 1953."
"16","In Scandinavian languages, the letter Å means river."
"17","The names of Roxas's Keyblades in Kingdom Hearts are ""Oathkeeper"" and ""Oblivion""."
"18","Joko Widodo has appeared in the cover of a TIME magazine."
"19","The band STRFKR was also briefly known as Pyramiddd."
"20","Harry Potter was born on July 31st, 1980."
"21","Nazi Germany surrendered on Harry Truman's birthday while he was president."
"22","The Klingon home planet is Qo'noS."
"23","The board game Go has more possible legal positions than the number of atoms in the visible universe."
"24","Lady Gaga's real name is Stefani Joanne Angelina Germanotta."
"25","In Topology, the complement of an open set is a closed set."
"26","The value of one Calorie is different than the value of one calorie."
"27","During the Winter War, the amount of Soviet Union soliders that died or went missing was five times more than Finland's."
"28","Stagecoach owned ""South West Trains"" before losing the rights to FirstGroup and MTR in March of 2017."
"29","In the ""To Love-Ru"" series, Peke is considered a female robot."
"30","Spoon theory is a theory, utilizing ""Spoons"" as a metaphor for energy they can use in a day."
"31","In ""The Sims"" series, the most members in a household you can have is 8."
"32","Japan was part of the Allied Powers during World War I."
"33","This is the correct spelling of ""Supercalifragilisticexpialidocious""."
"34","Unturned originally started as a Roblox game."
"35","Joseph Stalin's real name was Ioseb Bessarionis dze Dzugashvili."
"36","It was once believed that injecting shark cartilage into people would prevent them from contracting cancer."
"37","""Number 16 Bus Shelter"" was a child's name that was approved by the New Zealand government."
"38","In ""Portal 2"", Cave Johnson started out Aperture Science as a shower curtain company."
"39","In ""Metal Gear Solid 2"", you will see through the eyes of Psycho Mantis if you go first person during his boss fight."
"40","Scientists can grow teeth from urine."
"41","If you could fold a piece of paper in half 50 times, its' thickness will be 3/4th the distance from the Earth to the Sun."
"42","The fourth funnel of the RMS Titanic was fake designed to make the ship look more powerful and symmetrical."
"43","Rannamaari was a sea demon that haunted the people of the Maldives and had to be appeased monthly with the sacrifice of a virgin girl."
"44","Throughout the entirety of ""Dragon Ball Z"", Goku only kills two characters: a miniboss named Yakon and Kid Buu."
"45","The song ""Mystery Train"" was released by artist ""Little Junior's Blue Flames"" in 1953."
"46","In Scandinavian languages, the letter Å means river."
"47","The names of Roxas's Keyblades in Kingdom Hearts are ""Oathkeeper"" and ""Oblivion""."
"48","Joko Widodo has appeared in the cover of a TIME magazine."
"49","The band STRFKR was also briefly known as Pyramiddd."
"50","The Klingon home planet is Qo'noS."
"51","The board game Go has more possible legal positions than the number of atoms in the visible universe."
"52","Lady Gaga's real name is Stefani Joanne Angelina Germanotta."
"53","In Topology, the complement of an open set is a closed set."
"54","The value of one Calorie is different than the value of one calorie."
"55","During the Winter War, the amount of Soviet Union soliders that died or went missing was five times more than Finland's."
"56","Stagecoach owned ""South West Trains"" before losing the rights to FirstGroup and MTR in March of 2017."
"57","In the ""To Love-Ru"" series, Peke is considered a female robot."
